WEEK,TASKS,TIME
Week 1,Selected dataset and came up with the questions that worth being answered via analyzing the dataset. Downloaded the dataset and set up folders on the PC. Set up coding environment and loaded necessary libraries.,01-26-2024 8:30PM - 10:28PM
,Browsed through the dataset and went through its documentation. Figured out the meaning of each column and wrote down the framework of the project that I planned to finish.,01-30-2024 3:10PM - 5:00PM
,,
Week 2,Set up the time log and related graph,02-04-2024 1:00PM - 2:12PM
,,
Week 3,,
,,
,,
Week 4,,
,,
,,
Week 5,,
,,
Week 6,,
